Prosymna bivittata	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	bivittata	WERNER	1903	Two-striped Shovel-snout, Twin-striped Shovel-snout	No	No
Prosymna frontalis	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	frontalis	PETERS	1867	South-western African Shovel-snout	No	No
Prosymna janii	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	janii	BIANCONI	1862	Mozambique Shovel-snout, Keel-scaled Shovel-snout	No	No
Prosymna meleagris	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	meleagris	REINHARDT	1843	Ghana Shovel-snout, Speckled Shovel-snout Snake	No	No
Prosymna ornatissima	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	ornatissima	BARBOUR & LOVERIDGE	1928	Ornate Shovelsnout Snake	No	No
Prosymna pitmani	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	pitmani	BATTERSBY	1951	Pitman's Shovelsnout Snake, Multi-scaled Shovel-snout	No	No
Prosymna ruspolii	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	ruspolii	BOULENGER	1896	Ruspoli's Shovelsnout Snake, Southern Somaliland Shovel-snout	No	No
Prosymna semifasciata	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	semifasciata	BROADLEY	1995	Banded shovel-snout	No	No
Prosymna somalica	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	somalica	PARKER	1930	Ogaden Racer, Northern Somali Shovelsnout Snake	No	No
Prosymna sundevalli	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	sundevalli	SMITH	1849	linea	No	No
Prosymna visseri	Lamprophiidae, Prosymninae, Serpentes (snakes)	Prosymna	visseri	FITZSIMONS	1959	Vissers Shovel-snout	No	No
Protobothrops elegans	Viperidae, Crotalinae, Serpentes (snakes)	Protobothrops	elegans	GRAY	1849	Elegant pitviper	Yes	Yes
Protobothrops flavoviridis	Viperidae, Crotalinae, Serpentes (snakes)	Protobothrops	flavoviridis	HALLOWELL	1861	Habu	Yes	Yes
Protobothrops jerdonii	Viperidae, Crotalinae, Serpentes (snakes)	Protobothrops	jerdonii	GNTHER	1875	Jerdons pitviper, Bourrets pitviper, Red spotted pitviper	Yes	Yes
Protobothrops kaulbacki	Viperidae, Crotalinae, Serpentes (snakes)	Protobothrops	kaulbacki	SMITH	1940	Kaulbacks lance-headed pitviper	Yes	Yes
Protobothrops mucrosquamatus	Viperidae, Crotalinae, Serpentes (snakes)	Protobothrops	mucrosquamatus	CANTOR	1839	Brown spotted pitviper	Yes	Yes
Trimeresurus strigatus	Viperidae, Crotalinae, Serpentes (snakes)	Trimeresurus	strigatus	GRAY	1842	Horseshoe (pit-) viper	Yes	Yes
Protobothrops xiangchengensis	Viperidae, Crotalinae, Serpentes (snakes)	Protobothrops	xiangchengensis	ZHAO, JIANG & HUANG	1979	Szechwan Pit Viper, Kham plateau pitviper	Yes	Yes
Psammodynastes pictus	Lamprophiidae, Serpentes (snakes)	Psammodynastes	pictus	GNTHER	1858	Painted Mock Viper, Spotted Mock Viper	No	No
Psammodynastes pulverulentus	Lamprophiidae, Serpentes (snakes)	Psammodynastes	pulverulentus	BOIE	1827	Common Mock Viper	No	No
Psammophis aegyptius	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	aegyptius	MARX	1958		No	No
Psammophis angolensis	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	angolensis	BOCAGE	1872	Dwarf Sand Snake	No	No
Psammophis ansorgii	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	ansorgii	BOULENGER	1905	Link-marked Sand Racer	No	No
Psammophis biseriatus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	biseriatus	PETERS	1881	Link-marked Sand Snake, Two-striped Sand Racer	No	No
Psammophis condanarus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	condanarus	MERREM	1820	Sand Snake	No	No
Psammophis crucifer	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	crucifer	DAUDIN	1803	Cross-marked Or Montane Grass Snake	No	No
Psammophis elegans	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	elegans	SHAW	1802	Elegant Sand Racer	No	No
Psammophis jallae	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	jallae	PERACCA	1896	Jalla's Sand Snake	No	No
Psammophis leightoni	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	leightoni	BOULENGER	1902	Cape Sand Snake	No	No
Psammophis leithii	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	leithii	GNTHER	1869	Pakistani Ribbon snake, Pakistan Sand Racer	No	No
Psammophis lineolatus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	lineolatus	BRANDT	1838	Steppe Ribbon Racer	No	No
Psammophis longifrons	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	longifrons	BOULENGER	1896	Long Sand Racer, Stocky Sand Snake	No	No
Psammophis notostictus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	notostictus	PETERS	1867	Karoo Sand Snake Or Whip Snake	No	No
Psammophis phillipsi	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	phillipsi	HALLOWELL	1844	Olive Grass Racer, Phillips Sand Snake	No	No
Psammophis pulcher	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	pulcher	BOULENGER	1895	Boulenger's Sand Racer, Beautiful Sand snake	No	No
Psammophis punctulatus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	punctulatus	DUMRIL & BIBRON	1854	Speckled Sand Racer, Sand sna	No	No
Psammophis rukwae	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	rukwae	BROADLEY	1966	Rukwa Sand Racer	No	No
Psammophis schokari	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	schokari	FORSKAL	1775	Schokari Sand Racer, Forskal Sand Snake	No	No
Psammophis sibilans	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	sibilans	LINNAEUS	1758	Striped Sand Snake, Hissing Sand Snake	No	No
Psammophis subtaeniatus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	subtaeniatus	PETERS	1882	Stripe-bellied Sand Snake	No	No
Psammophis tanganicus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	tanganicus	LOVERIDGE	1940	Tanganyika Sand Snake, Western Link-marked Sand Racer	No	No
Psammophis trigrammus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophis	trigrammus	GNTHER	1865	Western Sand Snake	No	No
Psammophylax rhombeatus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophylax	rhombeatus	LINNAEUS	1758	Spotted Skaapsteker, Rhombic Skaapsteker	No	No
Psammophylax tritaeniatus	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophylax	tritaeniatus	GNTHER	1868	Three-lined Grass Snake, Striped Skaapsteker	No	No
Psammophylax variabilis	Lamprophiidae, Psammophiinae, Serpentes (snakes)	Psammophylax	variabilis	GNTHER	1893	Grey-bellied Grass Snake, Grey-bellied skaapstekker	No	No
Philodryas agassizii	Dipsadidae, Colubroidea, Serpentes (snakes)	Philodryas	agassizii	JAN	1863	Burrowing Night Snake	Yes	No
Pseudaspis cana	Lamprophiidae, Pseudaspidinae, Serpentes (snakes)	Pseudaspis	cana	LINNAEUS	1758	Mole Snake	No	No
Pseudechis australis	Elapidae, Serpentes (snakes)	Pseudechis	australis	GRAY	1842	King brown or mulga snake	Yes	No
Pseudechis butleri	Elapidae, Serpentes (snakes)	Pseudechis	butleri	SMITH	1982	Spotted Mulga Snake, Butler's Snake	Yes	No
Pseudechis colletti	Elapidae, Serpentes (snakes)	Pseudechis	colletti	BOULENGER	1902	Collett's Snake	Yes	No
Pseudechis guttatus	Elapidae, Serpentes (snakes)	Pseudechis	guttatus	DE VIS	1905	Spotted Black Snake, Blue-bellied Black Snake	Yes	No
Pseudechis papuanus	Elapidae, Serpentes (snakes)	Pseudechis	papuanus	PETERS & DORIA	1878	Papuan blacksnake	Yes	No
Pseudechis porphyriacus	Elapidae, Serpentes (snakes)	Pseudechis	porphyriacus	SHAW	1794	Red-bellied Black Snake, Australian black snake	Yes	No
Pseudoboa coronata	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudoboa	coronata	SCHNEIDER	1801	Crowned False Boa	No	No
Pseudoboa haasi	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudoboa	haasi	BOETTGER	1905	Paran False Boa	No	No
Pseudoboa neuwiedii	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudoboa	neuwiedii	DUMRIL, BIBRON  & DUMRIL	1854	Neuwied's False Boa	No	No
Pseudoboa nigra	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudoboa	nigra	DUMRIL, BIBRON  & DUMRIL	1854	Black False Boa	No	No
Pseudoboa serrana	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudoboa	serrana	MORATO, MOURA-LEITE, PRUDENTE & BRNILS	1995		No	No
Pseudoboodon boehmei	Lamprophiidae, Lamprophiinae, Serpentes (snakes)	Pseudoboodon	boehmei	RASMUSSEN & LARGEN	1992	Bhmes Ethiopian Snake	No	No
Pseudoboodon gascae	Lamprophiidae, Lamprophiinae, Serpentes (snakes)	Pseudoboodon	gascae	PERACCA	1897	Gascas Ethiopian Snake	No	No
Pseudoboodon lemniscatus	Lamprophiidae, Lamprophiinae, Serpentes (snakes)	Pseudoboodon	lemniscatus	DUMRIL, BIBRON  & DUMRIL	1854	Striped Ethiopian Snake, Banded Snake	No	No
Pseudocerastes fieldi	Viperidae, Viperinae, Serpentes (snakes)	Pseudocerastes	fieldi	SCHMIDT	1930	Field's Horned Viper	Yes	Yes
Pseudocerastes persicus	Viperidae, Viperinae, Serpentes (snakes)	Pseudocerastes	persicus	DUMRIL, BIBRON  & DUMRIL	1854	Perisan Horned Viper	Yes	Yes
Eirenis persicus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Eirenis	persicus	ANDERSON	1872	Dark-headed Dwarf Racer	No	No
Pseudoeryx plicatilis	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudoeryx	plicatilis	LINNAEUS	1758	South American Pond Snake	No	No
Pseudoficimia frontalis	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Pseudoficimia	frontalis	COPE	1864	False Ficimia	No	No
Pseudohaje goldii	Elapidae, Serpentes (snakes)	Pseudohaje	goldii	BOULENGER	1895	African Tree Cobra, Golds Forest Cobra, Goldies False Cobra or Tree Cobra	Yes	No
Pseudohaje nigra	Elapidae, Serpentes (snakes)	Pseudohaje	nigra	GNTHER	1858	Black Tree Cobra, Hoodless Cobra	Yes	No
Pseudoleptodeira latifasciata	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudoleptodeira	latifasciata	GNTHER	1894	False Cat-eyed Snake	No	No
Leptodeira uribei	Dipsadidae, Colubroidea, Serpentes (snakes)	Leptodeira	uribei	BAUTISTA & SMITH	1992	Uribe's False Cat-eyed Snake	No	No
Pseudonaja affinis	Elapidae, Serpentes (snakes)	Pseudonaja	affinis	GNTHER	1872	Dugite	Yes	No
Pseudonaja guttata	Elapidae, Serpentes (snakes)	Pseudonaja	guttata	PARKER	1926	Speckled Brown Snake, Spotted Brown Snake	Yes	No
Pseudonaja inframacula	Elapidae, Serpentes (snakes)	Pseudonaja	inframacula	WAITE	1925	Peninsula Brown Snake	Yes	No
Pseudonaja ingrami	Elapidae, Serpentes (snakes)	Pseudonaja	ingrami	BOULENGER	1908	Ingram's Brown Snake	Yes	No
Pseudonaja modesta	Elapidae, Serpentes (snakes)	Pseudonaja	modesta	GNTHER	1872	Ringed Brown Snake	Yes	No
Pseudonaja nuchalis	Elapidae, Serpentes (snakes)	Pseudonaja	nuchalis	GNTHER	1858	Gwardar, Western Brown Snake	Yes	No
Pseudonaja textilis	Elapidae, Serpentes (snakes)	Pseudonaja	textilis	DUMRIL, BIBRON  & DUMRIL	1854	Eastern brown snake	Yes	No
Pseudorabdion albonuchalis	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	albonuchalis	GNTHER	1896		No	No
Pseudorabdion ater	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	ater	TAYLOR	1922		No	No
Pseudorabdion collaris	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	collaris	MOCQUARD	1892	Common Collared Snake	No	No
Pseudorabdion eiselti	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	eiselti	INGER & LEVITON	1961		No	No
Pseudorabdion longiceps	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	longiceps	CANTOR	1847	Dwarf Reed Snake, Cantor's Dwarf Reed Snake	No	No
Pseudorabdion mcnamarae	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	mcnamarae	TAYLOR	1917	McNamara's Burrowing Snake	No	No
Pseudorabdion montanum	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	montanum	LEVITON & BROWN	1959	Mountain Burrowing Snake	No	No
Pseudorabdion oxycephalum	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	oxycephalum	GNTHER	1858	Gnther's Dwarf Reed Snake	No	No
Pseudorabdion sarasinorum	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	sarasinorum	MLLER	1895	Sarasins Reed Sna	No	No
Pseudorabdion saravacense	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	saravacense	SHELFORD	1901		No	No
Pseudorabdion talonuran	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	talonuran	BROWN, LEVITON & SISON	1999	Panay Island Reed Snake	No	No
Pseudorabdion taylori	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Pseudorabdion	taylori	LEVITON & BROWN	1959	Taylor's Burrowing Snake	No	No
Pseudotomodon trigonatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Pseudotomodon	trigonatus	LEYBOLD	1873	False Tomodon Snake	No	No
Pseudotyphlops philippinus	Uropeltidae, Henophidia, Serpentes (snakes)	Pseudotyphlops	philippinus	MLLER	1832	Large Shieldtail Snake	No	No
Pseudoxenodon bambusicola	Pseudoxenodontidae, Colubroidea, Serpentes (snakes)	Pseudoxenodon	bambusicola	VOGT	1922	Bamboo Snake	No	No
Pseudoxenodon baramensis	Pseudoxenodontidae, Colubroidea, Serpentes (snakes)	Pseudoxenodon	baramensis	SMITH	1921	Baramen Bamboo Snake	No	No
Pseudoxenodon inornatus	Pseudoxenodontidae, Colubroidea, Serpentes (snakes)	Pseudoxenodon	inornatus	BOIE	1827	Dull Bamboo Snake, Javanese False Cobra	No	No
Pseudoxenodon karlschmidti	Pseudoxenodontidae, Colubroidea, Serpentes (snakes)	Pseudoxenodon	karlschmidti	POPE	1928	Chinese Bamboo Snake	No	No
Pseudoxenodon macrops	Pseudoxenodontidae, Colubroidea, Serpentes (snakes)	Pseudoxenodon	macrops	BLYTH	1855	(Large-eyed or) Big-eyed Bamboo Snake, Mock Cobra	No	No
Pseudoxenodon stejnegeri	Pseudoxenodontidae, Colubroidea, Serpentes (snakes)	Pseudoxenodon	stejnegeri	BARBOUR	1908	Stejneger's Bamboo Snake	No	No
Pseudoxyrhopus ambreensis	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	ambreensis	MOCQUARD	1894	Ambre Brook Snake	No	No
Pseudoxyrhopus analabe	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	analabe	NUSSBAUM, ANDREONE & RAXWORTHY	1998		No	No
Pseudoxyrhopus ankafinaensis	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	ankafinaensis	RAXWORTHY & NUSSBAUM	1994		No	No
Pseudoxyrhopus heterurus	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	heterurus	JAN	1863	Night Brook Snake	No	No
Pseudoxyrhopus imerinae	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	imerinae	GNTHER	1890	Plateau Brook Snake	No	No
Pseudoxyrhopus kely	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	kely	RAXWORTHY & NUSSBAUM	1994		No	No
Pseudoxyrhopus microps	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	microps	GNTHER	1881	Brown Brook Snake	No	No
Pseudoxyrhopus oblectator	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	oblectator	CADLE	1999		No	No
Pseudoxyrhopus quinquelineatus	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	quinquelineatus	GNTHER	1881	Striped Brook Snake	No	No
Pseudoxyrhopus sokosoko	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	sokosoko	RAXWORTHY & NUSSBAUM	1994		No	No
Pseudoxyrhopus tritaeniatus	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Pseudoxyrhopus	tritaeniatus	MOCQUARD	1894		No	No
Pseustes cinnamomeus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Pseustes	cinnamomeus	WAGLER	1824		No	No
Pseustes poecilonotus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Pseustes	poecilonotus	GNTHER	1858	Puffing Snake	No	No
Pseustes sexcarinatus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Pseustes	sexcarinatus	WAGLER	1824	Wagler's Puffing Snake	No	No
Pseustes shropshirei	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Pseustes	shropshirei	BARBOUR & AMARAL	1924	Shropshire's Puffing Snake	No	No
Spilotes sulphureus	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Spilotes	sulphureus	WAGLER	1824	Amazon Puffing Snake	No	No
Psomophis genimaculatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Psomophis	genimaculatus	BOETTGER	1885	Spirit Ground Snake, Spirit Diminutive Snake	No	No
Psomophis joberti	Dipsadidae, Colubroidea, Serpentes (snakes)	Psomophis	joberti	SAUVAGE	1884		No	No
Psomophis obtusus	Dipsadidae, Colubroidea, Serpentes (snakes)	Psomophis	obtusus	COPE	1864	Wide Ground Snake	No	No
Ptyas carinata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ptyas	carinata	GNTHER	1858	Keeled Rat Snake	No	No
Ptyas dhumnades	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ptyas	dhumnades	CANTOR	1842		No	No
Ptyas dipsas	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ptyas	dipsas	SCHLEGEL	1837	Sulawesi Black Racer	No	No
Ptyas fusca	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ptyas	fusca	GNTHER	1858	White-bellied Rat Snake, Brown Rat Snake	No	No
Ptyas korros	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ptyas	korros	SCHLEGEL	1837	Chinese Ratsnake, Indo-Chinese Rat Snake	No	No
Ptyas luzonensis	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ptyas	luzonensis	GNTHER	1873	Smooth-Scaled Mountain Rat Snake	No	No
Ptyas mucosa	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ptyas	mucosa	LINNAEUS	1758	Dhaman, Oriental Ratsnake	No	No
Ptyas nigromarginata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ptyas	nigromarginata	BLYTH	1854	Green Rat Snake, Black-bordered Rat Snake	No	No
Ptychophis flavovirgatus	Dipsadidae, Colubroidea, Serpentes (snakes)	Ptychophis	flavovirgatus	GOMES	1915	Fanged Water Snake	No	No
Python anchietae	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Python	anchietae	BOCAGE	1887	Anchieta's Dwarf Python, Angolan Python	No	No
Python curtus	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Python	curtus	SCHLEGEL	1872	Blood Python	No	No
Python molurus	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Python	molurus	LINNAEUS	1758	Indian Rock Python	No	No
Python natalensis	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Python	natalensis	SMITH	1840	Southern African Python	No	No
Python regius	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Python	regius	SHAW	1802	Ball Python, Royal Python	No	No
Malayopython reticulatus	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Malayopython	reticulatus	SCHNEIDER	1801	Reticulated Python	No	No
Python sebae	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Python	sebae	GMELIN	1789	African Rock Python	No	No
Malayopython timoriensis	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Malayopython	timoriensis	PETERS	1876	Timor Python	No	No
Pythonodipsas carinata	Lamprophiidae, Pseudaspidinae, Serpentes (snakes)	Pythonodipsas	carinata	GNTHER	1868	Western Keeled Snake	No	No
Rabdion forsteni	Colubridae, Calamariinae, Colubroidea, Serpentes (snakes)	Rabdion	forsteni	DUMRIL, BIBRON  & DUMRIL	1854	Forstens Pointed Sna	No	No
Ramphotyphlops acuticaudus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	acuticaudus	PETERS	1877	Palau Island Blind Snake	No	No
Anilios affinis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	affinis	BOULENGER	1889	Small-headed Blind Snake	No	No
Indotyphlops albiceps	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Indotyphlops	albiceps	BOULENGER	1898	White-headed Blind Snake	No	No
Ramphotyphlops angusticeps	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	angusticeps	PETERS	1877	Arboreal Blind Snake	No	No
Anilios aspinus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	aspinus	COUPER, COVACEVICH, WILSON	1998		No	No
Anilios australis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	australis	GRAY	1845	Southern Blind Snake	No	No
Anilios batillus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	batillus	WAITE	1894	Batillus Blind Snake	No	No
Anilios bituberculatus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	bituberculatus	PETERS	1863	Prong-snouted Blind Snake	No	No
Indotyphlops braminus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Indotyphlops	braminus	DAUDIN	1803	Flowerpot Snake, Brahminy blindsnake, Bootlace Snake	No	No
Anilios broomi	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	broomi	BOULENGER	1898	Faint-striped Blind Snake, Striate Blind Snake	No	No
Anilios centralis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	centralis	STORR	1984	Centralian Blind Snake	No	No
Anilios chamodracaena	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	chamodracaena	INGRAM & COVACEVICH	1993	Cape York Striped Blind Snake	No	No
Ramphotyphlops cumingii	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	cumingii	GRAY	1845	Cuming's Blind Snake	No	No
Ramphotyphlops depressus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	depressus	PETERS	1880		No	No
Anilios diversus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	diversus	WAITE	1894	Northern Blind Snake	No	No
Anilios endoterus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	endoterus	WAITE	1918	Interior Blind Snake	No	No
Anilios erycinus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	erycinus	WERNER	1901	Northern New Guinea blindsnake	No	No
Ramphotyphlops exocoeti	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	exocoeti	BOULENGER	1887	Christmas Island Blind Snake	No	No
Ramphotyphlops flaviventer	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	flaviventer	PETERS	1864	Yellowbellied blindsnake	No	No
Anilios ganei	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	ganei	APLIN	1998		No	No
Anilios grypus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	grypus	WAITE	1918	long-beaked Blind Snake	No	No
Anilios guentheri	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	guentheri	PETERS	1865	Top End Blind Snake	No	No
Anilios hamatus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	hamatus	STORR	1981	Pale-headed Blind Snake	No	No
Anilios howi	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	howi	STORR	1983	Kimberley deep-soil Blind Snake	No	No
Anilios kimberleyensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	kimberleyensis	STORR	1981	Kimberley Shallow-soil Blind Snake	No	No
Anilios leptosomus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	leptosomus	ROBB	1972	Murchison Blind Snake	No	No
Anilios leucoproctus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	leucoproctus	BOULENGER	1889	White-tailed blindsnake	No	No
Anilios ligatus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	ligatus	PETERS	1879	Robust Blind Snake	No	No
Ramphotyphlops lineatus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	lineatus	SCHLEGEL	1839	Striped Blind Snake, Striped Worm Snake	No	No
Anilios longissimus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	longissimus	APLIN	1998		No	No
Ramphotyphlops lorenzi	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Ramphotyphlops	lorenzi	WERNER	1909		No	No
Anilios margaretae	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	margaretae	STORR	1981	Buff-snouted Blind Snake	No	No
Cathetorhinus melanocephalus	Gerrhopilidae, Typhlopoidea, Serpentes (snakes)	Cathetorhinus	melanocephalus	DUMRIL & BIBRON	1844		No	No
Anilios micrommus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	micrommus	STORR	1981	Small-eyed Blind Snake	No	No
Anilios minimus	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Anilios	minimus	KINGHORN	1929	Groote Dwarf Blind Snake	No	No
