Alluaudina bellyi	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Alluaudina	bellyi	MOCQUARD	1894		No	No
Alluaudina mocquardi	Lamprophiidae, Pseudoxyrhophiinae, Serpentes (snakes)	Alluaudina	mocquardi	ANGEL	1939		No	No
Haitiophis anomalus	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Haitiophis	anomalus	PETERS	1863	Hispaniola Racer	No	No
Alsophis antiguae	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Alsophis	antiguae	PARKER	1933	Antiguan racer	No	No
Alsophis antillensis	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Alsophis	antillensis	SCHLEGEL	1837	Antilles Racer, Leeward Racer	No	No
Hypsirhynchus ater	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Hypsirhynchus	ater	GOSSE	1851	Jamaica Racer	No	No
Pseudalsophis biserialis	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Pseudalsophis	biserialis	GNTHER	1860	Galapagos Racer	No	No
Cubophis cantherigerus	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Cubophis	cantherigerus	BIBRON	1840	Cuban Racer	No	No
Pseudalsophis elegans	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Pseudalsophis	elegans	TSCHUDI	1845		No	No
Hypsirhynchus melanichnus	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Hypsirhynchus	melanichnus	COPE	1862	La Vega Racer	No	No
Borikenophis portoricensis	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Borikenophis	portoricensis	REINHARDT & LTKEN	1862	Puerto Rican Racer	No	No
Alsophis rijgersmaei	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Alsophis	rijgersmaei	COPE	1869	Anguilla Racer, Leeward Islands Racer	No	No
Alsophis rufiventris	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Alsophis	rufiventris	DUMRIL, BIBRON  & DUMRIL	1854	Saba Racer, Orange-bellied racer	No	No
Borikenophis sanctaecrucis	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Borikenophis	sanctaecrucis	COPE	1862	St. Croix Racer	No	No
Cubophis vudii	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Cubophis	vudii	COPE	1862	Bahamian Racer	No	No
