Amblyodipsas unicolor	Chad
Amblyodipsas unicolor	Guinea
Amblyodipsas unicolor	Benin
Amblyodipsas unicolor	Togo
Amblyodipsas unicolor	Sierra Leone
Amblyodipsas unicolor	Central African Republic
Amblyodipsas unicolor	Republic of the Congo
Amblyodipsas unicolor	Guinea-Bissau
Amblyodipsas ventrimaculata	South Africa
Amblyodipsas ventrimaculata	Zambia
Amblyodipsas ventrimaculata	Zimbabwe
Amblyodipsas ventrimaculata	Namibia
Amblyodipsas ventrimaculata	Botswana
Hebius atemporale	China
Hebius atemporale	Vietnam
Hebius atemporale	Hong Kong
Hebius beddomei	India
Hebius bitaeniatum	China
Hebius bitaeniatum	Vietnam
Hebius bitaeniatum	Thailand
Hebius bitaeniatum	Myanmar
Hebius boulengeri	China
Hebius boulengeri	Vietnam
Hebius boulengeri	Cambodia
Hebius boulengeri	Hong Kong
Hebius celebicum	Indonesia
Hebius concelarum	Japan
Hebius craspedogaster	China
Hebius craspedogaster	Vietnam
Hebius deschauenseei	Vietnam
Hebius deschauenseei	Thailand
Hebius flavifrons	Indonesia
Hebius flavifrons	Malaysia
Hebius flavifrons	Brunei
Hebius flavifrons	Saba
Hebius frenatum	Indonesia
Hebius frenatum	Malaysia
Hebius groundwateri	Thailand
Hebius inas	Indonesia
Hebius inas	Thailand
Hebius inas	Malaysia
Hebius ishigakiense	Japan
Hebius johannis	China
Hebius khasiense	China
Hebius khasiense	India
Hebius khasiense	Vietnam
Hebius khasiense	Thailand
Hebius khasiense	Myanmar
Hebius khasiense	Cambodia
Hebius khasiense	Laos
Hebius metusium	China
Hebius miyajimae	Taiwan
Hebius modestum	China
Hebius modestum	India
Hebius modestum	Vietnam
Hebius modestum	Myanmar
Hebius modestum	Cambodia
Hebius modestum	Laos
Hebius monticola	India
Hebius nicobariense	India
Hebius octolineatum	China
Hebius optatum	China
Hebius optatum	Vietnam
Hebius parallelum	China
Hebius parallelum	India
Hebius parallelum	Myanmar
Hebius parallelum	Nepal
Hebius pealii	India
Hebius petersii	Indonesia
Hebius petersii	Malaysia
Hebius petersii	Singapore
Herpetoreas platyceps	China
Herpetoreas platyceps	India
Herpetoreas platyceps	Pakistan
Herpetoreas platyceps	Bangladesh
Herpetoreas platyceps	Nepal
Herpetoreas platyceps	Bhutan
Hebius popei	China
Hebius popei	Vietnam
Hebius pryeri	Japan
Hebius sanguineum	Malaysia
Hebius sarasinorum	Indonesia
Hebius sarawacense	Indonesia
Hebius sarawacense	Malaysia
Hebius sauteri	China
Hebius sauteri	Vietnam
Hebius sauteri	Taiwan
Hebius sauteri	Hong Kong
Herpetoreas sieboldii	India
Herpetoreas sieboldii	Pakistan
Herpetoreas sieboldii	Bangladesh
Herpetoreas sieboldii	Myanmar
Herpetoreas sieboldii	Nepal
Amphiesma stolatum	China
Amphiesma stolatum	India
Amphiesma stolatum	Pakistan
Amphiesma stolatum	Vietnam
Amphiesma stolatum	Thailand
Amphiesma stolatum	Myanmar
Amphiesma stolatum	Nepal
Amphiesma stolatum	Taiwan
Amphiesma stolatum	Sri Lanka
Amphiesma stolatum	Cambodia
Amphiesma stolatum	Hong Kong
Amphiesma stolatum	Laos
Amphiesma stolatum	Bhutan
Hebius venningi	China
Hebius venningi	India
Hebius venningi	Myanmar
Hebius vibakari	China
Hebius vibakari	Russia
Hebius vibakari	Japan
Hebius viperinum	Indonesia
Hebius xenura	India
Amphiesmoides ornaticeps	China
Amphiesmoides ornaticeps	Vietnam
Amplorhinus multimaculatus	South Africa
Amplorhinus multimaculatus	Mozambique
Amplorhinus multimaculatus	Zimbabwe
Anilius scytale	Brazil
Anilius scytale	Colombia
Anilius scytale	Peru
Anilius scytale	Venezuela
Anilius scytale	Ecuador
Anilius scytale	Bolivia
Anomalepis aspinosus	Peru
Anomalepis colombia	Colombia
Anomalepis flavapices	Ecuador
Anomalepis mexicanus	Mexico
Anomalepis mexicanus	Colombia
Anomalepis mexicanus	Peru
Anomalepis mexicanus	Ecuador
Anomalepis mexicanus	Nicaragua
Anomalepis mexicanus	Costa Rica
Anomalepis mexicanus	Panama
Anomochilus leonardi	Malaysia
Anomochilus leonardi	Saba
Anomochilus weberi	Indonesia
Anomochilus weberi	Malaysia
Anomochilus weberi	Saba
Anoplohydrus aemulans	Indonesia
