Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Vietnam
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Thailand
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Myanmar
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Malaysia
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Australia
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Sri Lanka
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Cambodia
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Guinea
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Papua New Guinea
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Singapore
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Solomon Islands
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Indonesia
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Vietnam
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Thailand
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Malaysia
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Cambodia
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Guinea
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Singapore
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Guinea
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Papua New Guinea
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Georgia
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Solomon Islands
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Guinea
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Papua New Guinea
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Solomon Islands
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Guinea
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Papua New Guinea
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Solomon Islands
Acutotyphlops subocularis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	subocularis	WAITE	1897	Bismarck sharp-nosed blindsnake	Ireland
Adelophis copei	Natricidae, Colubroidea, Serpentes (snakes)	Adelophis	copei	DUGS	1879	Cope's Mountain Meadow Snake	Mexico
Adelophis foxi	Natricidae, Colubroidea, Serpentes (snakes)	Adelophis	foxi	ROSSMAN & BLANEY	1968	Fox's Mountain Meadow Snake	Mexico
Adelphicos daryi	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	daryi	CAMPBELL & FORD	1982	Dary's Burrowing Snake	Guatemala
Adelphicos ibarrorum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	ibarrorum	CAMPBELL & BRODIE	1988		Guatemala
Adelphicos latifasciatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	latifasciatum	LYNCH & SMITH	1966	Oaxacan Burrowing Snake	Mexico
Adelphicos nigrilatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	nigrilatum	SMITH	1942	Burrowing Snake	Mexico
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Mexico
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Guatemala
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Honduras
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Nicaragua
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Belize
Adelphicos veraepacis	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	veraepacis	STUART	1941	Stuart's Burrowing Snake	Mexico
Adelphicos veraepacis	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	veraepacis	STUART	1941	Stuart's Burrowing Snake	Guatemala
Atheris barbouri	Viperidae, Viperinae, Serpentes (snakes)	Atheris	barbouri	LOVERIDGE	1930	Uzungwe Mountain Bush Viper	Tanzania
Aeluroglena cucullata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Aeluroglena	cucullata	BOULENGER	1898	Somali Snake	Ethiopia
Aeluroglena cucullata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Aeluroglena	cucullata	BOULENGER	1898	Somali Snake	Somalia
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Nigeria
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Ghana
